Error: missing newline in E:\PERFORMANCE\GCC\Kaas\FY20_Release\Script\V1\Kaas_ContentRendering\p_ContentRendering.dat	[MsgId: MERR-13874]
WCC_KaasContentRendering.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/render/000aGs6oqfSTV048un3OX7OhutPo/ish_2268897-1678984-16?entitlement=none&audience=customer&isFullHTMLRequired=true"  	[MsgId: MERR-26608]
KaaS_Content_Rendering_MetaData.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/search?documentID=c02129193&resultLimit=1&resultStart=0&languageCode=ko,en&countryCode=6984892597308500812593&store=udp-content-default,docstore,manualstore,sdlmanualstore&printFields=documentID,filename,name,summary,objectname,dredbname,description,title,shortestnavigationpath,categorizations,ishType,searchable,languagedocmap"  	[MsgId: MERR-26608]
WISE_KaasContentRendering.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/render/000aka8Ac2WadtCPieHHx4iRYtXv/ish_1942088-1888977-16"  	[MsgId: MERR-26608]
WCC_KaasContentRendering.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/render/000aGs6oqfSTV048un3OX7OhutPo/ish_2268897-1678976-16?entitlement=none&audience=customer&isFullHTMLRequired=true"  	[MsgId: MERR-26608]
KaaS_Content_Rendering_MetaData.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/search?documentID=c01683939&resultLimit=1&resultStart=0&languageCode=ko,en&countryCode=6984892597308500812593&store=udp-content-default,docstore,manualstore,sdlmanualstore&printFields=documentID,filename,name,summary,objectname,dredbname,description,title,shortestnavigationpath,categorizations,ishType,searchable,languagedocmap"  	[MsgId: MERR-26608]
WISE_KaasContentRendering.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/render/000aka8Ac2WadtCPieHHx4iRYtXv/ish_1942086-1888968-16"  	[MsgId: MERR-26608]
KaaS_Content_Rendering_MetaData.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/search?documentID=c00752912&resultLimit=1&resultStart=0&languageCode=ko,en&countryCode=6984892597308500812593&store=udp-content-default,docstore,manualstore,sdlmanualstore&printFields=documentID,filename,name,summary,objectname,dredbname,description,title,shortestnavigationpath,categorizations,ishType,searchable,languagedocmap"  	[MsgId: MERR-26608]
WCC_KaasContentRendering.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/render/000aGs6oqfSTV048un3OX7OhutPo/ish_1776648-1643972-16?entitlement=none&audience=customer&isFullHTMLRequired=true"  	[MsgId: MERR-26608]
Kaas_Contextual_Filtering.c(9): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/render/000aka8Ac2WadtCPieHHx4iRYtXv/ish_849683-2147483634-16?conditions=FHPIPRODUCT=7779742"  	[MsgId: MERR-26608]
KaaS_Content_Rendering_MetaData.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/search?documentID=ish_2281796-2060609-16&resultLimit=1&resultStart=0&languageCode=ko,en&countryCode=6984892597308500812593&store=udp-content-default,docstore,manualstore,sdlmanualstore&printFields=documentID,filename,name,summary,objectname,dredbname,description,title,shortestnavigationpath,categorizations,ishType,searchable,languagedocmap"  	[MsgId: MERR-26608]
KaaS_Content_Rendering_MetaData.c(10): Continuing after Error -26627: HTTP Status-Code=404 (Not Found) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/search?documentID=ish_2175617-2060413-16&resultLimit=1&resultStart=0&languageCode=ko,en&countryCode=6984892597308500812593&store=udp-content-default,docstore,manualstore,sdlmanualstore&printFields=documentID,filename,name,summary,objectname,dredbname,description,title,shortestnavigationpath,categorizations,ishType,searchable,languagedocmap"  	[MsgId: MERR-26627]
WISE_KaasContentRendering.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/render/000aka8Ac2WadtCPieHHx4iRYtXv/ish_1940938-1883966-16"  	[MsgId: MERR-26608]
KaaS_Content_Rendering_MetaData.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/search?documentID=ish_2281791-2076363-16&resultLimit=1&resultStart=0&languageCode=ko,en&countryCode=6984892597308500812593&store=udp-content-default,docstore,manualstore,sdlmanualstore&printFields=documentID,filename,name,summary,objectname,dredbname,description,title,shortestnavigationpath,categorizations,ishType,searchable,languagedocmap"  	[MsgId: MERR-26608]
WCC_KaasContentRendering.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/render/000aGs6oqfSTV048un3OX7OhutPo/ish_1713527-1408978-16?entitlement=none&audience=customer&isFullHTMLRequired=true"  	[MsgId: MERR-26608]
WCC_KaasContentRendering.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/render/000aGs6oqfSTV048un3OX7OhutPo/ish_2025980-1553267-16?entitlement=none&audience=customer&isFullHTMLRequired=true"  	[MsgId: MERR-26608]
KaaS_Content_Rendering_MetaData.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/search?documentID=ish_2281791-2076363-16&resultLimit=1&resultStart=0&languageCode=ko,en&countryCode=6984892597308500812593&store=udp-content-default,docstore,manualstore,sdlmanualstore&printFields=documentID,filename,name,summary,objectname,dredbname,description,title,shortestnavigationpath,categorizations,ishType,searchable,languagedocmap"  	[MsgId: MERR-26608]
WCC_KaasContentRendering.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/render/000aGs6oqfSTV048un3OX7OhutPo/ish_2175617-2060413-16?entitlement=none&audience=customer&isFullHTMLRequired=true"  	[MsgId: MERR-26608]
Kaas_Contextual_Filtering.c(9): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/render/000aka8Ac2WadtCPieHHx4iRYtXv/ish_849683-2147483634-16?conditions=FHPIPRODUCT=9822172"  	[MsgId: MERR-26608]
WISE_KaasContentRendering.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/render/000aka8Ac2WadtCPieHHx4iRYtXv/ish_1946968-1947068-16"  	[MsgId: MERR-26608]
WCC_KaasContentRendering.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/render/000aGs6oqfSTV048un3OX7OhutPo/ish_2339470-2185681-16?entitlement=none&audience=customer&isFullHTMLRequired=true"  	[MsgId: MERR-26608]
WISE_KaasContentRendering.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/render/000aka8Ac2WadtCPieHHx4iRYtXv/ish_1997719-1528356-16"  	[MsgId: MERR-26608]
WISE_KaasContentRendering.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/render/000aka8Ac2WadtCPieHHx4iRYtXv/ish_1869137-1537860-16"  	[MsgId: MERR-26608]
KaaS_Content_Rendering_MetaData.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/search?documentID=c01683939&resultLimit=1&resultStart=0&languageCode=ko,en&countryCode=6984892597308500812593&store=udp-content-default,docstore,manualstore,sdlmanualstore&printFields=documentID,filename,name,summary,objectname,dredbname,description,title,shortestnavigationpath,categorizations,ishType,searchable,languagedocmap"  	[MsgId: MERR-26608]
WCC_KaasContentRendering.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/render/000aGs6oqfSTV048un3OX7OhutPo/ish_1997210-1528385-16?entitlement=none&audience=customer&isFullHTMLRequired=true"  	[MsgId: MERR-26608]
WISE_KaasContentRendering.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/render/000aka8Ac2WadtCPieHHx4iRYtXv/ish_1997210-1528385-16"  	[MsgId: MERR-26608]
WCC_KaasContentRendering.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/render/000aGs6oqfSTV048un3OX7OhutPo/ish_1632604-68210-16?entitlement=none&audience=customer&isFullHTMLRequired=true"  	[MsgId: MERR-26608]
WISE_KaasContentRendering.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/render/000aka8Ac2WadtCPieHHx4iRYtXv/ish_1624934-229146-16"  	[MsgId: MERR-26608]
WISE_KaasContentRendering.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/render/000aka8Ac2WadtCPieHHx4iRYtXv/ish_1835997-1460004-16"  	[MsgId: MERR-26608]
WCC_KaasContentRendering.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/render/000aGs6oqfSTV048un3OX7OhutPo/ish_2060244-1929404-16?entitlement=none&audience=customer&isFullHTMLRequired=true"  	[MsgId: MERR-26608]
KaaS_Content_Rendering_MetaData.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/search?documentID=c02129193&resultLimit=1&resultStart=0&languageCode=ko,en&countryCode=6984892597308500812593&store=udp-content-default,docstore,manualstore,sdlmanualstore&printFields=documentID,filename,name,summary,objectname,dredbname,description,title,shortestnavigationpath,categorizations,ishType,searchable,languagedocmap"  	[MsgId: MERR-26608]
WISE_KaasContentRendering.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/render/000aka8Ac2WadtCPieHHx4iRYtXv/ish_1940934-1883926-16"  	[MsgId: MERR-26608]
Kaas_Contextual_Filtering.c(9): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/render/000aka8Ac2WadtCPieHHx4iRYtXv/ish_849683-2147483634-16?conditions=FHPIPRODUCT=27066690"  	[MsgId: MERR-26608]
KaaS_Content_Rendering_MetaData.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/search?documentID=c00752912&resultLimit=1&resultStart=0&languageCode=ko,en&countryCode=6984892597308500812593&store=udp-content-default,docstore,manualstore,sdlmanualstore&printFields=documentID,filename,name,summary,objectname,dredbname,description,title,shortestnavigationpath,categorizations,ishType,searchable,languagedocmap"  	[MsgId: MERR-26608]
WCC_KaasContentRendering.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/render/000aGs6oqfSTV048un3OX7OhutPo/ish_1721987-1299196-16?entitlement=none&audience=customer&isFullHTMLRequired=true"  	[MsgId: MERR-26608]
WISE_KaasContentRendering.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/render/000aka8Ac2WadtCPieHHx4iRYtXv/ish_1941036-1884006-16"  	[MsgId: MERR-26608]
WISE_KaasContentRendering.c(10): Continuing after Error -27776: [GENERAL_MSG_CAT_SSL_ERROR]read to host "link.brightcove.com" failed  	[MsgId: MERR-27776]
WISE_KaasContentRendering.c(10): Continuing after Error -27786: Failed to read data from server "link.brightcove.com"  	[MsgId: MERR-27786]
WCC_KaasContentRendering.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/render/000aGs6oqfSTV048un3OX7OhutPo/ish_2041634-1713099-16?entitlement=none&audience=customer&isFullHTMLRequired=true"  	[MsgId: MERR-26608]
WCC_KaasContentRendering.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/render/000aGs6oqfSTV048un3OX7OhutPo/ish_1997210-1528385-16?entitlement=none&audience=customer&isFullHTMLRequired=true"  	[MsgId: MERR-26608]
WISE_KaasContentRendering.c(10): Continuing after Error -27776: [GENERAL_MSG_CAT_SSL_ERROR]read to host "link.brightcove.com" failed  	[MsgId: MERR-27776]
WISE_KaasContentRendering.c(10): Continuing after Error -27786: Failed to read data from server "link.brightcove.com"  	[MsgId: MERR-27786]
